state,abbr,y,x
Alaska,AK,0,0
Hawaii,HI,7,0
Washington,WA,2,1
Oregon,OR,3,1
California,CA,4,1
Idaho,ID,2,2
Nevada,NV,3,2
Utah,UT,4,2
Arizona,AZ,5,2
Montana,MT,2,3
Wyoming,WY,3,3
Colorado,CO,4,3
New Mexico,NM,5,3
North Dakota,ND,2,4
South Dakota,SD,3,4
Nebraska,NE,4,4
Kansas,KS,5,4
Oklahoma,OK,6,4
Texas,TX,7,4
Minnesota,MN,2,5
Iowa,IA,3,5
Missouri,MO,4,5
Arkansas,AR,5,5
Louisiana,LA,6,5
Illinois,IL,2,6
Indiana,IN,3,6
Kentucky,KY,4,6
Tennessee,TN,5,6
Mississippi,MS,6,6
Wisconsin,WI,2,7
Ohio,OH,3,7
West Virginia,WV,4,7
North Carolina,NC,5,7
Alabama,AL,6,7
Michigan,MI,2,8
Pennsylvania,PA,3,8
Virginia,VA,4,8
South Carolina,SC,5,8
Georgia,GA,6,8
New York,NY,2,9
New Jersey,NJ,3,9
Maryland,MD,4,9
DC,DC,5,9
Florida,FL,7,9
Vermont,VT,1,10
Rhode Island,RI,2,10
Connecticut,CT,3,10
Delaware,DE,4,10
Maine,ME,0,11
New Hampshire,NH,1,11
Massachusetts,MA,2,11
